num;callsign;dmrid;name;country;ctry
438;9M2SF;5022002;See;Malaysia;
439;9V1CJ;5251001;Joel;Singapore;
440;9V1CJ;5251002;Joel;Singapore;
441;9W2LHX;5026001;Amin;Malaysia;
442;9W2PB;5022004;PB;Malaysia;
443;9W2SVT;5022007;Stanley;Malaysia;
444;9W2TJK;5022006;Khee;Malaysia;
445;9W2ZHN;5022005;Wan;Malaysia;MYS
446;A41MO;4220001;Sameer;Oman;
447;AA0DW;3108602;Doug;United States;
448;AA0JK;3108171;Frederick;United States;USA
449;AA0MI;3120161;Keith;United States;USA
450;AA1BW;3125206;Lajos;United States;
451;AA1PR;3150024;Mike;United States;
452;AA1SM;3123025;Tom;United States;
453;AA1SM;3123045;Tom;United States;
454;AA1UE;3125127;Gary;United States;
455;AA1VE;3109225;David;United States;
456;AA1VE;3109378;David;United States;
457;AA1WM;3109121;Scott;United States;
458;AA2DR;3136449;Frank;United States;
459;AA2XR;3112546;Ian;United States;
460;AA2ZE;3137528;Pat;United States;
461;AA3BM;3137421;BOB;United States;
462;AA3NB;3148327;Cheryl;United States;
463;AA3VZ;3142106;Anthony;United States;
464;AA3XN;3142125;John;United States;
465;AA3YQ;3137467;Andrew;United States;
466;AA4CD;3106267;Chris;United States;USA
467;AA4DS;3137011;David;United States;USA
468;AA4JK;3106275;Jerry;United States;USA
469;AA4RC;3113117;Robin;United States;
470;AA4TZ;3112198;Tom;United States;USA
471;AA5EJ;3145186;Michael;United States;
472;AA5HL;3148032;David;United States;USA
473;AA5JK;3148225;John;United States;
474;AA5NO;3148336;James;United States;
475;AA6DB;3106937;David;United States;
476;AA6EM;3106401;Eric;United States;USA
477;AA6FZ;3106773;Steven;United States;
478;AA6IO;3106843;Steven;United States;
479;AA6JN;3106812;John;United States;
480;AA6ML;3112233;Mike;United States;USA
481;AA6ML;3112232;Mike;United States;USA
482;AA6RA;3106629;Rob;United States;
483;AA6RV;3106686;David;United States;
484;AA6WH;3107075;Wayne;United States;
485;AA7EG;3106213;Earl;United States;USA
486;AA7IX;3156045;Martin;United States;
487;AA7J;3149009;Joe;United States;USA
488;AA8HS;3139265;Bruce;United States;
489;AA8JR;3126198;Jim;United States;USA
490;AA8RT;3148297;THOMAS;United States;
491;AA8RT;3148175;Thomas;United States;
492;AA8XR;3113121;Joseph;United States;
493;AA9AZ;3117237;James;United States;USA
494;AA9CA;3117045;Thomas;United States;
495;AA9RF;3117375;Carl;United States;
496;AA9SO;3117448;Soriano;United States;
497;AA9VI;3117227;Mike;United States;USA
498;AA9VI;3117120;Mike;United States;USA
499;AA9VI;3117121;Mike;United States;USA
500;AA9YN;3118410;Ron;United States;
501;AA9YP;3118286;Jay;United States;
502;AB0SF;3108125;George;United States;USA
503;AB0WV;3108358;Frank;United States;
504;AB1AW;3125098;Michael;United States;
505;AB1CQ;3125038;Gary;United States;USA
506;AB1CR;3109138;Charles;United States;
507;AB1EI;3123039;Doug;United States;
508;AB1GL;3109152;George;United States;
509;AB1HI;3109193;Jonathan;United States;
510;AB1JU;3137120;Brian;United States;USA
511;AB1LZ;3109153;William;United States;
512;AB1LZ;3109383;William;United States;
513;AB1NZ;3125213;sidney;United States;
514;AB1PH;3125089;W;United States;
515;AB1PV;3125218;Markus;United States;
516;AB1QO;3125057;Pete;United States;USA
517;AB1RS;3125126;Richard;United States;
